,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4642,0.138,0.206,8,-13.434,1,0.0379,0.782,3.03e-06,0.114,0.277,53.062,audio_features,4SX6MuXZrQRsVv6MI1rWGI,spotify:track:4SX6MuXZrQRsVv6MI1rWGI,https://api.spotify.com/v1/tracks/4SX6MuXZrQRsVv6MI1rWGI,https://api.spotify.com/v1/audio-analysis/4SX6MuXZrQRsVv6MI1rWGI,188053,5
4643,0.456,0.285,7,-13.676,1,0.0858,0.766,0.0,0.0786,0.516,83.435,audio_features,1rtzABisO0N3DL9S3WQ2Z1,spotify:track:1rtzABisO0N3DL9S3WQ2Z1,https://api.spotify.com/v1/tracks/1rtzABisO0N3DL9S3WQ2Z1,https://api.spotify.com/v1/audio-analysis/1rtzABisO0N3DL9S3WQ2Z1,221293,4
4644,0.551,0.144,8,-13.883,0,0.0392,0.515,0.0,0.187,0.648,128.122,audio_features,4Z4eU8yoBtBGIQPQrhCFr2,spotify:track:4Z4eU8yoBtBGIQPQrhCFr2,https://api.spotify.com/v1/tracks/4Z4eU8yoBtBGIQPQrhCFr2,https://api.spotify.com/v1/audio-analysis/4Z4eU8yoBtBGIQPQrhCFr2,194307,4
4645,0.715,0.212,7,-12.799,1,0.0813,0.937,0.0,0.118,0.695,156.329,audio_features,0ApUPYg8ifMJZchhFeFLDs,spotify:track:0ApUPYg8ifMJZchhFeFLDs,https://api.spotify.com/v1/tracks/0ApUPYg8ifMJZchhFeFLDs,https://api.spotify.com/v1/audio-analysis/0ApUPYg8ifMJZchhFeFLDs,160947,4
4646,0.416,0.589,0,-11.099,1,0.176,0.719,0.0,0.347,0.925,183.832,audio_features,52ECa63SZm42ZsIPjjPlLB,spotify:track:52ECa63SZm42ZsIPjjPlLB,https://api.spotify.com/v1/tracks/52ECa63SZm42ZsIPjjPlLB,https://api.spotify.com/v1/audio-analysis/52ECa63SZm42ZsIPjjPlLB,145733,4
4647,0.362,0.566,2,-6.836,0,0.0673,0.665,0.0,0.0686,0.848,173.679,audio_features,7aVfH2La99DMdbvOkGorAQ,spotify:track:7aVfH2La99DMdbvOkGorAQ,https://api.spotify.com/v1/tracks/7aVfH2La99DMdbvOkGorAQ,https://api.spotify.com/v1/audio-analysis/7aVfH2La99DMdbvOkGorAQ,198227,4
4648,0.485,0.0377,5,-16.477,1,0.0291,0.977,0.00649,0.0856,0.205,80.334,audio_features,3YU16osxnEi1e0SvXIt0QW,spotify:track:3YU16osxnEi1e0SvXIt0QW,https://api.spotify.com/v1/tracks/3YU16osxnEi1e0SvXIt0QW,https://api.spotify.com/v1/audio-analysis/3YU16osxnEi1e0SvXIt0QW,192893,4
4649,0.359,0.303,10,-13.443,1,0.029,0.827,0.0,0.143,0.379,111.031,audio_features,3dP26yhAx1murb5j0Y833W,spotify:track:3dP26yhAx1murb5j0Y833W,https://api.spotify.com/v1/tracks/3dP26yhAx1murb5j0Y833W,https://api.spotify.com/v1/audio-analysis/3dP26yhAx1murb5j0Y833W,165040,4
4650,0.599,0.535,2,-10.853,1,0.0373,0.473,0.0,0.0771,0.839,144.706,audio_features,7jI7n0B2SvrzTcsJVuceCw,spotify:track:7jI7n0B2SvrzTcsJVuceCw,https://api.spotify.com/v1/tracks/7jI7n0B2SvrzTcsJVuceCw,https://api.spotify.com/v1/audio-analysis/7jI7n0B2SvrzTcsJVuceCw,169933,4
4651,0.44,0.421,7,-10.679,1,0.0435,0.68,0.0,0.213,0.853,163.463,audio_features,3Ku10qaEMUwQ7gj8H5gea6,spotify:track:3Ku10qaEMUwQ7gj8H5gea6,https://api.spotify.com/v1/tracks/3Ku10qaEMUwQ7gj8H5gea6,https://api.spotify.com/v1/audio-analysis/3Ku10qaEMUwQ7gj8H5gea6,184293,4
4652,0.509,0.404,5,-8.261,1,0.0351,0.699,7.54e-05,0.0769,0.576,126.896,audio_features,2y8Az6zkzWtLKjx4XzaxaJ,spotify:track:2y8Az6zkzWtLKjx4XzaxaJ,https://api.spotify.com/v1/tracks/2y8Az6zkzWtLKjx4XzaxaJ,https://api.spotify.com/v1/audio-analysis/2y8Az6zkzWtLKjx4XzaxaJ,178520,4
4653,0.682,0.316,9,-10.382,1,0.0942,0.934,0.00241,0.123,0.646,92.684,audio_features,4GKpEXCbrjJRH6K3M5B662,spotify:track:4GKpEXCbrjJRH6K3M5B662,https://api.spotify.com/v1/tracks/4GKpEXCbrjJRH6K3M5B662,https://api.spotify.com/v1/audio-analysis/4GKpEXCbrjJRH6K3M5B662,211133,4
4654,0.796,0.215,6,-9.409,1,0.0726,0.495,0.0,0.101,0.572,111.157,audio_features,3YO0RMWVBJRmzwKVGAgSLF,spotify:track:3YO0RMWVBJRmzwKVGAgSLF,https://api.spotify.com/v1/tracks/3YO0RMWVBJRmzwKVGAgSLF,https://api.spotify.com/v1/audio-analysis/3YO0RMWVBJRmzwKVGAgSLF,127800,4
4655,0.692,0.381,2,-6.987,1,0.0332,0.761,0.0,0.19,0.57,112.79,audio_features,6BvZwDYctgPbAO2zYkCCNR,spotify:track:6BvZwDYctgPbAO2zYkCCNR,https://api.spotify.com/v1/tracks/6BvZwDYctgPbAO2zYkCCNR,https://api.spotify.com/v1/audio-analysis/6BvZwDYctgPbAO2zYkCCNR,162240,4
4656,0.72,0.253,7,-10.834,0,0.0512,0.772,5.87e-06,0.256,0.627,123.419,audio_features,0YB35C6G2CLBDBfJcm9pBE,spotify:track:0YB35C6G2CLBDBfJcm9pBE,https://api.spotify.com/v1/tracks/0YB35C6G2CLBDBfJcm9pBE,https://api.spotify.com/v1/audio-analysis/0YB35C6G2CLBDBfJcm9pBE,148013,4
4657,0.368,0.403,10,-12.699,1,0.0288,0.703,7.66e-06,0.202,0.338,135.384,audio_features,49RUdNvwSiUTC8fBh4KKoC,spotify:track:49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/tracks/49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/audio-analysis/49RUdNvwSiUTC8fBh4KKoC,212667,4
4658,0.401,0.446,4,-9.646,1,0.0416,0.265,0.0,0.298,0.425,103.906,audio_features,7r0EUONfPUZ8SD1vu4ro27,spotify:track:7r0EUONfPUZ8SD1vu4ro27,https://api.spotify.com/v1/tracks/7r0EUONfPUZ8SD1vu4ro27,https://api.spotify.com/v1/audio-analysis/7r0EUONfPUZ8SD1vu4ro27,168733,4
4659,0.504,0.516,10,-11.268,1,0.0703,0.775,0.0,0.106,0.904,199.684,audio_features,5k39CBtv8KMf7EGjYDWUbd,spotify:track:5k39CBtv8KMf7EGjYDWUbd,https://api.spotify.com/v1/tracks/5k39CBtv8KMf7EGjYDWUbd,https://api.spotify.com/v1/audio-analysis/5k39CBtv8KMf7EGjYDWUbd,171053,4
4660,0.558,0.647,8,-3.81,1,0.135,0.424,0.0,0.0909,0.696,154.594,audio_features,1KMmccrzgzvGbIAdKBQBjb,spotify:track:1KMmccrzgzvGbIAdKBQBjb,https://api.spotify.com/v1/tracks/1KMmccrzgzvGbIAdKBQBjb,https://api.spotify.com/v1/audio-analysis/1KMmccrzgzvGbIAdKBQBjb,193080,4
4661,0.81,0.406,8,-7.819,1,0.107,0.875,0.0,0.113,0.895,142.158,audio_features,0MQUMFLhBn3KbmwW0GUbQR,spotify:track:0MQUMFLhBn3KbmwW0GUbQR,https://api.spotify.com/v1/tracks/0MQUMFLhBn3KbmwW0GUbQR,https://api.spotify.com/v1/audio-analysis/0MQUMFLhBn3KbmwW0GUbQR,173293,4
4662,0.652,0.552,2,-10.511,1,0.0366,0.476,0.0,0.0619,0.963,106.186,audio_features,5B08BHjou1YVQa8TkNmNwL,spotify:track:5B08BHjou1YVQa8TkNmNwL,https://api.spotify.com/v1/tracks/5B08BHjou1YVQa8TkNmNwL,https://api.spotify.com/v1/audio-analysis/5B08BHjou1YVQa8TkNmNwL,131133,4
4663,0.626,0.535,9,-4.441,1,0.0443,0.85,0.0,0.0561,0.671,108.804,audio_features,47O5lXcK78Z3TIiGzuc18l,spotify:track:47O5lXcK78Z3TIiGzuc18l,https://api.spotify.com/v1/tracks/47O5lXcK78Z3TIiGzuc18l,https://api.spotify.com/v1/audio-analysis/47O5lXcK78Z3TIiGzuc18l,144200,4
4664,0.758,0.468,0,-8.949,1,0.0741,0.934,0.0,0.739,0.782,110.305,audio_features,7itJnv5HKRdvYkGrcVtsPz,spotify:track:7itJnv5HKRdvYkGrcVtsPz,https://api.spotify.com/v1/tracks/7itJnv5HKRdvYkGrcVtsPz,https://api.spotify.com/v1/audio-analysis/7itJnv5HKRdvYkGrcVtsPz,179133,4
4665,0.751,0.316,9,-9.429,1,0.168,0.928,0.0,0.216,0.843,144.324,audio_features,0ZCznYeUvKJxxpQ0l4RutJ,spotify:track:0ZCznYeUvKJxxpQ0l4RutJ,https://api.spotify.com/v1/tracks/0ZCznYeUvKJxxpQ0l4RutJ,https://api.spotify.com/v1/audio-analysis/0ZCznYeUvKJxxpQ0l4RutJ,174827,4
4666,0.585,0.486,3,-8.421,1,0.264,0.874,0.0,0.0571,0.97,206.432,audio_features,090OJddWzQFGpN6NGIjkIi,spotify:track:090OJddWzQFGpN6NGIjkIi,https://api.spotify.com/v1/tracks/090OJddWzQFGpN6NGIjkIi,https://api.spotify.com/v1/audio-analysis/090OJddWzQFGpN6NGIjkIi,119467,4
4667,0.333,0.174,6,-13.639,0,0.0271,0.986,0.00379,0.351,0.448,79.518,audio_features,72aC0MzOky8tmiJPTms7HV,spotify:track:72aC0MzOky8tmiJPTms7HV,https://api.spotify.com/v1/tracks/72aC0MzOky8tmiJPTms7HV,https://api.spotify.com/v1/audio-analysis/72aC0MzOky8tmiJPTms7HV,177200,3
4668,0.813,0.32,3,-12.71,1,0.18,0.922,2.78e-06,0.305,0.803,79.504,audio_features,2FZZZ3L1wj9xTgQzMlQEed,spotify:track:2FZZZ3L1wj9xTgQzMlQEed,https://api.spotify.com/v1/tracks/2FZZZ3L1wj9xTgQzMlQEed,https://api.spotify.com/v1/audio-analysis/2FZZZ3L1wj9xTgQzMlQEed,149333,4
4669,0.678,0.365,6,-10.028,0,0.0643,0.84,0.0,0.0894,0.955,154.609,audio_features,6ghdeAG64RBwahVxWzj9sa,spotify:track:6ghdeAG64RBwahVxWzj9sa,https://api.spotify.com/v1/tracks/6ghdeAG64RBwahVxWzj9sa,https://api.spotify.com/v1/audio-analysis/6ghdeAG64RBwahVxWzj9sa,139533,4
4670,0.623,0.582,1,-6.587,1,0.149,0.861,0.0,0.341,0.562,76.202,audio_features,600wNkX9UT5rB0HRceHxX7,spotify:track:600wNkX9UT5rB0HRceHxX7,https://api.spotify.com/v1/tracks/600wNkX9UT5rB0HRceHxX7,https://api.spotify.com/v1/audio-analysis/600wNkX9UT5rB0HRceHxX7,160533,4
